title,author,style1,style2,status
大国文娱,香港大亨,都市,娱乐明星,连载中
宇宙霸业,牛家一郎,科幻,超级科技,连载中
至尊特工,8难,军事,谍战特工,连载中
女权世界的真汉子,二次元的土豆,二次元,原生幻想,连载中
如来必须败,鸟云,仙侠,神话修真,连载中
妙手心医,陈家三郎,都市,都市生活,连载中
重生支配者,历史里吹吹风,奇幻,另类幻想,连载中
综艺之谐星传奇,金印,都市,娱乐明星,连载中
史上最牛主神,南极烈日,科幻,时空穿梭,连载中
喜剧天王,老徐牧羊,都市,娱乐明星,连载中
最后一个炼金师,墨乡,游戏,游戏异界,连载中
刘备的日常,熏香如风,历史,秦汉三国,连载中
餐饮巨头,義海藏龙,都市,都市生活,连载中
恐怖邮差,过水看娇,灵异,恐怖惊悚,连载中
我家学生能改变历史,烽火成林,都市,都市生活,连载中
荒野直播之独闯天涯,逆流的沙,武侠,武侠幻想,连载中
帝国巨星,楼下赫本,都市,都市生活,连载中
恐慌世界,弹指一笑间,灵异,恐怖惊悚,连载中
捡到一个星球,明渐,科幻,超级科技,连载中
次元论坛,绅士东,二次元,衍生同人,连载中
重生之武神大主播,忘川三途,玄幻,东方玄幻,连载中
我修非常道,钓鱼1哥,仙侠,现代修真,连载中
神游诸天虚海,古月居士,科幻,时空穿梭,连载中
超级城市制造商,俗人汪,都市,都市生活,连载中
技艺天王,第三颗雪梨,都市,都市生活,连载中
法师网,星天萤火,科幻,时空穿梭,连载中
野性为王,过宽,都市,都市生活,连载中
战国赵为王,熙檬父,历史,上古先秦,完本
美食猎人,紫蓝色的猪,二次元,衍生同人,连载中
炼蛊,一号玩家,玄幻,东方玄幻,连载中
汉祚高门,衣冠正伦,历史,两晋隋唐,连载中
末世狂喵,捕梦者,科幻,末世危机,连载中
无相进化,宁悦岳,科幻,时空穿梭,连载中
正版修仙,叶恨水,仙侠,修真文明,连载中
在霍格沃茨淡定地喝红茶,榴莲只吃皮,二次元,衍生同人,连载中
我只是个不用奋斗的小白脸,尘七七,都市,都市生活,连载中
我要大宝箱,风云指上,都市,异术超能,连载中
带着龙珠到漫威,竖起的食指,二次元,衍生同人,连载中
全球巨星从练习生开始,愤怒猕猴桃,都市,娱乐明星,连载中
革宋,绯红之月,历史,架空历史,连载中
回到山沟去种田,二子从周,都市,都市生活,连载中
系统让我去算命,牧三河,都市,异术超能,连载中
云穹之未来断点,骷髅精灵,科幻,未来世界,连载中
聊斋好莱坞,魔幻的石头,都市,异术超能,连载中
兵王无双,尘风,军事,谍战特工,连载中
异世界聊天室,顺岑sc,二次元,衍生同人,连载中
我本港岛电影人,再来一盘菇凉,都市,都市生活,连载中
我要出租自己,五陵,都市,都市生活,连载中
圣武称尊,小圆源,玄幻,东方玄幻,连载中
从学霸开始,敢为,都市,都市生活,连载中
神级御兽,十芥,玄幻,异世大陆,连载中
前方有鬼,五志,仙侠,现代修真,连载中
科技图书馆,孤胆蚂蚁,科幻,超级科技,连载中
玩游戏刷黑科技,青棘,二次元,原生幻想,连载中
大师救命,辰机唐红豆,都市,都市生活,连载中
驭房有术,铁锁,灵异,风水秘术,连载中
都市伪仙,黑天魔神,都市,异术超能,连载中
逆行诸天万界,丰水居士,科幻,时空穿梭,连载中
里表世界,宝可梦,二次元,原生幻想,连载中
重回80当大佬,浙东匹夫,都市,都市生活,连载中
唐朝工科生,鲨鱼禅师,历史,两晋隋唐,连载中
重生之资本帝国,东人,都市,商战职场,连载中
重生日本之以剑称圣,小卒没过河,都市,都市生活,连载中
剑徒之路,惰堕,仙侠,修真文明,连载中
我真的不想穿越,王筱蛟,二次元,衍生同人,完本
战国野心家,最后一个名,历史,上古先秦,连载中
系统的超级宗门,飞雀夺杯,玄幻,异世大陆,连载中
注视深渊,吾即正道,游戏,虚拟网游,连载中
无敌小皇叔,剪水II,玄幻,东方玄幻,连载中
系统的黑科技网吧,逆水之叶,科幻,时空穿梭,完本
末日轮盘,幻动,科幻,末世危机,连载中
大戏骨,七七家d猫猫,都市,娱乐明星,连载中
我的大明新帝国,摇摇-欲坠,历史,两宋元明,连载中
汉化大师,维斯特帕列,科幻,时空穿梭,连载中
虫群法则,咱的小刀,二次元,原生幻想,连载中
我的钢铁战衣,钢铁战衣,科幻,时空穿梭,连载中
重生柯南当侦探,猫色,二次元,衍生同人,连载中
